date,open,high,low,close,volume,_source
2020-01-02 07:00:00,7785.0,7785.0,7785.0,7785.0,2500,KBS
2020-01-03 07:00:00,7785.0,7785.0,7785.0,7785.0,200,KBS
2020-01-06 07:00:00,7716.0,7785.0,7716.0,7785.0,2100,KBS
2020-01-07 07:00:00,7716.0,7716.0,7716.0,7716.0,1000,KBS
2020-01-08 07:00:00,7785.0,7785.0,7716.0,7716.0,4900,KBS
2020-01-09 07:00:00,7716.0,7785.0,7716.0,7716.0,2800,KBS
2020-01-10 07:00:00,7646.0,7646.0,7646.0,7646.0,1000,KBS
2020-01-13 07:00:00,7646.0,7646.0,7646.0,7646.0,3800,KBS
2020-01-14 07:00:00,7646.0,7716.0,7577.0,7716.0,11900,KBS
2020-01-15 07:00:00,7577.0,7646.0,7577.0,7646.0,7300,KBS
2020-01-16 07:00:00,7577.0,7646.0,7577.0,7646.0,10800,KBS
2020-01-17 07:00:00,7716.0,7716.0,7716.0,7716.0,100,KBS
2020-01-20 07:00:00,7716.0,7716.0,7716.0,7716.0,100,KBS
2020-01-21 07:00:00,7646.0,7716.0,7646.0,7716.0,10200,KBS
2020-01-22 07:00:00,7646.0,7646.0,7577.0,7577.0,2000,KBS
2020-01-30 07:00:00,7716.0,7785.0,7716.0,7785.0,1000,KBS
2020-02-03 07:00:00,7507.0,7716.0,7507.0,7716.0,500,KBS
2020-02-04 07:00:00,7507.0,7577.0,6951.0,7577.0,2600,KBS
2020-02-06 07:00:00,7646.0,7646.0,7646.0,7646.0,3100,KBS
2020-02-07 07:00:00,7646.0,7716.0,7646.0,7716.0,12400,KBS
2020-02-10 07:00:00,7716.0,7716.0,7646.0,7646.0,345,KBS
2020-02-11 07:00:00,7646.0,7646.0,7646.0,7646.0,1052,KBS
2020-02-12 07:00:00,7716.0,7785.0,7716.0,7785.0,600,KBS
2020-02-14 07:00:00,7785.0,7785.0,7785.0,7785.0,2000,KBS
2020-02-20 07:00:00,7646.0,7646.0,7646.0,7646.0,102,KBS
2020-02-21 07:00:00,7646.0,7716.0,7646.0,7646.0,2600,KBS
2020-02-27 07:00:00,7438.0,7438.0,7438.0,7438.0,500,KBS
2020-03-02 07:00:00,7438.0,7438.0,7438.0,7438.0,100,KBS
