date,open,high,low,close,volume,_source
2021-12-03 07:00:00,9199.0,9199.0,9199.0,9199.0,100,KBS
2021-12-06 07:00:00,9832.0,9832.0,9832.0,9832.0,200,KBS
2021-12-07 07:00:00,10503.0,10503.0,10503.0,10503.0,400,KBS
2021-12-08 07:00:00,11231.0,11231.0,11231.0,11231.0,5200,KBS
2021-12-09 07:00:00,12017.0,12017.0,12017.0,12017.0,2200,KBS
2021-12-10 07:00:00,12841.0,12841.0,12841.0,12841.0,33200,KBS
2021-12-13 07:00:00,13722.0,13722.0,13722.0,13722.0,5200,KBS
2021-12-14 07:00:00,14681.0,14681.0,14681.0,14681.0,156800,KBS
2021-12-15 07:00:00,15696.0,15696.0,15332.0,15696.0,914200,KBS
2021-12-16 07:00:00,16789.0,16789.0,16712.0,16789.0,888600,KBS
2021-12-17 07:00:00,17939.0,17958.0,16482.0,16482.0,2709700,KBS
2021-12-20 07:00:00,16405.0,16635.0,15945.0,16405.0,1388900,KBS
2021-12-21 07:00:00,16482.0,16712.0,15907.0,16080.0,1237100,KBS
2021-12-22 07:00:00,16099.0,16329.0,15984.0,16175.0,1718000,KBS
2021-12-23 07:00:00,16099.0,16674.0,16099.0,16214.0,970700,KBS
2021-12-24 07:00:00,16674.0,16865.0,16214.0,16386.0,1133100,KBS
2021-12-27 07:00:00,16482.0,17517.0,16482.0,17057.0,880900,KBS
2021-12-28 07:00:00,17709.0,17709.0,16693.0,16865.0,1241200,KBS
2021-12-29 07:00:00,16942.0,17057.0,16290.0,16290.0,690500,KBS
2021-12-30 07:00:00,16367.0,16635.0,16214.0,16252.0,1026400,KBS
2021-12-31 07:00:00,16444.0,16520.0,15754.0,15754.0,1539000,KBS
2022-01-04 07:00:00,15792.0,16846.0,15332.0,16846.0,17419300,KBS
2022-01-05 07:00:00,18015.0,18015.0,18015.0,18015.0,122800,KBS
2022-01-06 07:00:00,19242.0,19242.0,18590.0,19242.0,3017500,KBS
2022-01-07 07:00:00,19357.0,20583.0,19089.0,20583.0,1781200,KBS
2022-01-10 07:00:00,20813.0,21235.0,20315.0,20813.0,1540400,KBS
2022-01-11 07:00:00,20852.0,21005.0,20315.0,20430.0,1317000,KBS
2022-01-12 07:00:00,20430.0,21848.0,20315.0,21848.0,2089800,KBS
2022-01-13 07:00:00,22232.0,23343.0,22232.0,23343.0,3293400,KBS
2022-01-14 07:00:00,23343.0,23458.0,22768.0,23037.0,2041400,KBS
2022-01-17 07:00:00,23037.0,23228.0,21810.0,22807.0,2034300,KBS
2022-01-18 07:00:00,22615.0,23497.0,22232.0,22998.0,1882500,KBS
2022-01-19 07:00:00,23382.0,23765.0,22998.0,23382.0,2827500,KBS
2022-01-20 07:00:00,23190.0,23573.0,22462.0,22845.0,1812100,KBS
2022-01-21 07:00:00,22423.0,22807.0,22232.0,22347.0,1385500,KBS
2022-01-24 07:00:00,22193.0,22193.0,20813.0,20813.0,1098500,KBS
2022-01-25 07:00:00,19932.0,21158.0,19357.0,21082.0,3022400,KBS
2022-01-26 07:00:00,21273.0,21542.0,20507.0,20852.0,1282600,KBS
2022-01-27 07:00:00,20698.0,20967.0,20047.0,20660.0,925900,KBS
2022-01-28 07:00:00,20468.0,20622.0,19549.0,20622.0,888400,KBS
2022-02-07 07:00:00,20737.0,21082.0,20737.0,21082.0,909900,KBS
2022-02-08 07:00:00,21235.0,21618.0,20698.0,21273.0,1541700,KBS
2022-02-09 07:00:00,21388.0,21503.0,20775.0,20890.0,1148500,KBS
2022-02-10 07:00:00,20890.0,21273.0,20698.0,21235.0,1010000,KBS
