ticker,action,confidence,mfpm_score,mode_w_score,sms_raw,sms_label,signal_mode,close,entry,sl,tp1,rr,amf_decision,best_pattern,hmm_state,stealth_accum
SVI,WATCH,LOW,65,50,50,RETAIL_DRIVEN,MODE_A,37.2,36.5,34.1,42.8,2.63,PASS,NONE,TRANSITIONAL,False
TVB,WATCH,LOW,63,56,48,RETAIL_DRIVEN,MODE_A,7.48,7.4,7.0,8.3,2.25,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
HPG,WATCH,LOW,55,47,47,RETAIL_DRIVEN,MODE_A,27.15,26.8,25.8,29.4,2.6,PASS,NONE,TRANSITIONAL,False
BBC,WATCH,LOW,53,57,49,RETAIL_DRIVEN,MODE_B,97.0,95.1,88.5,112.5,2.64,WARN,RSI_DIV_BULLISH,TRANSITIONAL,False
HU1,WATCH,LOW,50,46,31,RETAIL_DRIVEN,MODE_A,6.28,6.28,5.8,7.4,2.33,WARN,VCP,TRANSITIONAL,False
SFC,WATCH,LOW,50,47,47,RETAIL_DRIVEN,MODE_A,19.0,19.0,17.9,21.7,2.45,PASS,NONE,TRANSITIONAL,False
PGS,NO_ACTION,—,50,30,30,WHALE_DISTRIBUTING,MODE_A,52.8,52.2,47.5,64.6,2.64,PASS,NONE,TRANSITIONAL,False
VAF,NO_ACTION,—,50,16,16,WHALE_DISTRIBUTING,MODE_A,20.1,20.1,18.7,23.8,2.64,PASS,NONE,TRANSITIONAL,False
CTG,NO_ACTION,—,48,31,23,WHALE_DISTRIBUTING,MODE_A,34.8,34.5,33.1,38.1,2.57,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
KMR,NO_ACTION,—,48,57,49,RETAIL_DRIVEN,MODE_A,2.72,2.72,2.6,2.9,1.5,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
