Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
EIB,HOSE,WATCH,LOW,65,NEUTRAL,0.0,SAFE,,,48,43,RETAIL_DRIVEN,MODE_A,22750.0,22300.0,21350.0,-4.26,24800.0,27350.0,2.63,55.7,629.0,22392.0,25038300,12342345,7511490.0,UP,False,NONE,RANGING,TRANSITIONAL,PASS,NONE,INFLOW,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,76.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 22,100.0 | T+2.5 24,000.0 | T+5 24,950.0",55.0
ORS,HOSE,WATCH,LOW,60,NEUTRAL,0.0,SAFE,,,52,42,RETAIL_DRIVEN,MODE_A,13600.0,13500.0,12900.0,-4.44,15000.0,16450.0,2.5,50.0,371.0,13450.0,4491200,1946340,455880.0,FLAT,False,CAUTION,ACCUMULATION,TRANSITIONAL,PASS,CUP_WITH_HANDLE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,84.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 13,300.0 | T+2.5 14,350.0 | T+5 14,900.0",75.0
GMH,HOSE,WATCH,LOW,58,NEUTRAL,0.0,SAFE,,,56,48,RETAIL_DRIVEN,MODE_A,7840.0,7680.0,7200.0,-6.25,8950.0,10200.0,2.65,53.0,318.0,7593.0,17500,2380,5250.0,UP,False,NONE,MARKUP,TRANSITIONAL,WARN,RSI_DIV_BULLISH,NEUTRAL,0.0,0.0,0.0,0,,DOWNTREND_STRENGTHENING,TĂNG,65.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 7,520.0 | T+2.5 8,480.0 | T+5 8,950.0",65.0
HRC,HOSE,WATCH,LOW,58,NEUTRAL,0.0,SAFE,,,46,38,RETAIL_DRIVEN,MODE_A,42100.0,41250.0,36600.0,-11.27,53600.0,65900.0,2.66,53.3,3079.0,41608.0,15600,4275,-330.0,FLAT,False,CAUTION,MARKUP,TRANSITIONAL,PASS,RSI_DIV_BULLISH,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,69.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 39,000.0 | T+2.5 48,250.0 | T+5 52,900.0",55.0
VHE,HNX,WATCH,LOW,58,NEUTRAL,0.0,SAFE,,,60,42,RETAIL_DRIVEN,MODE_A,3300.0,3260.0,3030.0,-7.06,3860.0,4460.0,2.61,54.5,150.0,3210.0,93800,177735,0.0,FLAT,False,CAUTION,RANGING,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,65.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 3,160.0 | T+2.5 3,570.0 | T+5 3,750.0",55.0
HTV,HOSE,WATCH,LOW,55,NEUTRAL,0.0,SAFE,,,43,43,RETAIL_DRIVEN,MODE_B,14150.0,14150.0,13100.0,-7.42,16800.0,19500.0,2.52,86.2,668.0,11982.0,10500,4035,3660.0,UP,False,NONE,RANGING,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,GIẢM,85.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 13,500.0 | T+2.5 15,500.0 | T+5 16,500.0",60.0
SRC,HOSE,WATCH,LOW,55,NEUTRAL,0.0,SAFE,,,43,43,RETAIL_DRIVEN,MODE_A,54900.0,54200.0,51500.0,-4.98,61200.0,68200.0,2.59,52.0,1750.0,53375.0,300,4275,5490.0,UP,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,3.61,200,,UPTREND_STRENGTHENING,TĂNG,83.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 53,300.0 | T+2.5 58,000.0 | T+5 60,200.0",70.0
CKV,HNX,WATCH,LOW,53,NEUTRAL,0.0,SAFE,,,64,46,RETAIL_DRIVEN,MODE_A,17200.0,17200.0,16150.0,-6.1,19900.0,22550.0,2.57,54.5,671.0,16150.0,3700,1830,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,WARN,VCP,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,70.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 16,600.0 | T+2.5 18,400.0 | T+5 19,200.0",65.0
BFC,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,41,41,RETAIL_DRIVEN,MODE_A,63400.0,63400.0,57500.0,-9.31,79100.0,94800.0,2.66,51.7,3921.0,63440.0,554000,334550,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,64.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 59,900.0 | T+2.5 70,500.0 | T+5 75,200.0",80.0
CII,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,40,40,RETAIL_DRIVEN,MODE_A,19700.0,19300.0,18100.0,-6.22,22400.0,25550.0,2.58,52.0,779.0,19022.0,49670300,21840710,14901090.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,52.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 19,100.0 | T+2.5 21,250.0 | T+5 22,400.0",85.0
