Mã,Action,Conf,MFPM,Macro,MacroScore,Sector Flow,BCTC Risk,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào,SL,TP1,R:R,AMF,Pattern,HMM,Stealth,T+ Setup,T+ Verdict,T+ Conf,Trend Warning,Dự báo,FC Conf%,CVD
PPS,WATCH,LOW,65,NEUTRAL,0.0,NEUTRAL,SAFE,,58,58,RETAIL_DRIVEN,MODE_A,10500.0,10350.0,9870.0,11600.0,2.6,WARN,NONE,TRANSITIONAL,False,T_SUPPORT_BOUNCE,CHO_XAC_NHAN,70.0,NONE,,0.0,NEUTRAL
PC1,WATCH,LOW,63,NEUTRAL,0.0,NEUTRAL,SAFE,,66,48,RETAIL_DRIVEN,MODE_A,19700.0,19300.0,17650.0,23650.0,2.64,PASS,VCP,STEADY_BEAR,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
TRC,WATCH,LOW,58,NEUTRAL,0.0,NEUTRAL,SAFE,,67,49,RETAIL_DRIVEN,MODE_A,75000.0,75000.0,72600.0,81300.0,2.62,PASS,VCP,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,80.0,NONE,,0.0,NEUTRAL
DHA,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,35,35,RETAIL_DRIVEN,MODE_B,48950.0,48950.0,47450.0,52800.0,2.57,WARN,NONE,TRANSITIONAL,False,T_NO_SETUP,THEO_DOI,0.0,NONE,,0.0,NEUTRAL
DXV,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,50,50,RETAIL_DRIVEN,MODE_A,3900.0,3900.0,3660.0,4530.0,2.62,WARN,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,80.0,NONE,,0.0,NEUTRAL
SRC,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,34,34,RETAIL_DRIVEN,MODE_A,53600.0,53600.0,51900.0,57600.0,2.35,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
DAD,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,38,38,RETAIL_DRIVEN,MODE_A,15500.0,15500.0,14650.0,17700.0,2.59,WARN,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
TOT,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,34,34,RETAIL_DRIVEN,MODE_A,16900.0,16800.0,16100.0,18600.0,2.57,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,60.0,NONE,,0.0,NEUTRAL
HAP,NO_ACTION,—,58,NEUTRAL,0.0,NEUTRAL,SAFE,,47,29,WHALE_DISTRIBUTING,MODE_A,7000.0,7000.0,6620.0,7990.0,2.61,PASS,VCP,TRANSITIONAL,False,T_PULLBACK_EMA,THEO_DOI,45.0,NONE,,0.0,NEUTRAL
TTT,NO_ACTION,—,58,NEUTRAL,0.0,NEUTRAL,SAFE,,39,21,WHALE_DISTRIBUTING,MODE_A,33100.0,33100.0,32100.0,34450.0,1.35,PASS,VCP,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
