Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
PPS,HNX,WATCH,LOW,65,NEUTRAL,0.0,SAFE,,,58,58,RETAIL_DRIVEN,MODE_A,10500.0,10350.0,9870.0,-4.64,11600.0,12850.0,2.6,52.6,314.0,10410.0,8100,1320,2430.0,UP,False,NONE,ACCUMULATION,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,70.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 10,200.0 | T+2.5 11,000.0 | T+5 11,400.0",70.0
SHA,HOSE,WATCH,LOW,55,NEUTRAL,0.0,SAFE,,,58,58,RETAIL_DRIVEN,MODE_A,4030.0000000000005,3980.0,3850.0,-3.27,4320.0,4670.0,2.62,58.3,86.0,3966.0,12700,8530,0.0,UP,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,63.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 3,940.0 | T+2.5 4,200.0 | T+5 4,330.0",70.0
TCO,HOSE,WATCH,LOW,53,NEUTRAL,0.0,SAFE,,,53,35,RETAIL_DRIVEN,MODE_A,15250.0,15250.0,14100.0,-7.54,18250.0,21200.0,2.61,51.1,746.0,15362.0,55100,390745,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,64.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 14,600.0 | T+2.5 16,600.0 | T+5 17,500.0",80.0
