Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
PPS,HNX,WATCH,LOW,65,NEUTRAL,0.0,SAFE,,,58,58,RETAIL_DRIVEN,MODE_A,10500.0,10350.0,9870.0,-4.64,11600.0,12850.0,2.6,52.6,314.0,10410.0,8100,1320,2430.0,UP,False,NONE,ACCUMULATION,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,70.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 10,200.0 | T+2.5 11,000.0 | T+5 11,400.0",70.0
AAM,HOSE,WATCH,LOW,55,NEUTRAL,0.0,SAFE,,,41,41,RETAIL_DRIVEN,MODE_A,6940.0,6940.0,6470.0,-6.77,8190.0,9430.0,2.66,59.6,311.0,6772.0,200,9610,0.0,FLAT,False,WATCH,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,48.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 6,660.0 | T+2.5 7,500.0 | T+5 7,870.0",65.0
BTP,HOSE,WATCH,LOW,53,NEUTRAL,0.0,SAFE,,,53,35,RETAIL_DRIVEN,MODE_A,8370.0,8370.0,8110.0,-3.11,8730.0,9080.0,1.38,45.2,89.0,8402.0,51100,28185,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,GIẢM,41.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 8,280.0 | T+2.5 8,510.0 | T+5 8,620.0",75.0
TCO,HOSE,WATCH,LOW,53,NEUTRAL,0.0,SAFE,,,53,35,RETAIL_DRIVEN,MODE_A,15000.0,15000.0,14000.0,-6.67,17550.0,20100.0,2.55,51.3,639.0,15240.0,145600,409340,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,69.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 14,400.0 | T+2.5 16,150.0 | T+5 16,900.0",95.0
VHE,HNX,WATCH,LOW,53,NEUTRAL,0.0,SAFE,,,65,47,RETAIL_DRIVEN,MODE_A,3400.0,3400.0,3160.0,-7.06,4030.0,4660.0,2.62,53.3,157.0,3265.0,359400,238230,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,GIẢM,59.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 3,260.0 | T+2.5 3,680.0 | T+5 3,870.0",65.0
DXV,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,50,50,RETAIL_DRIVEN,MODE_A,3900.0,3900.0,3660.0,-6.15,4530.0,5160.0,2.62,48.9,158.0,3890.0,25500,4095,7650.0,UP,False,NONE,ACCUMULATION,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,63.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 3,760.0 | T+2.5 4,180.0 | T+5 4,370.0",80.0
PHR,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,41,41,RETAIL_DRIVEN,MODE_A,62800.0,62800.0,59200.0,-5.73,72400.0,82000.0,2.67,53.5,2400.0,63995.0,792900,428815,578520.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,64.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 60,600.0 | T+2.5 67,100.0 | T+5 70,000.0",55.0
SRC,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,34,34,RETAIL_DRIVEN,MODE_A,53700.0,53700.0,51800.0,-3.54,58600.0,63500.0,2.58,51.9,1221.0,53050.0,100,2755,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,5.37,300,,UPTREND_STRENGTHENING,TĂNG,83.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 52,600.0 | T+2.5 55,900.0 | T+5 57,400.0",95.0
D11,HNX,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,49,49,RETAIL_DRIVEN,MODE_B,12500.0,12500.0,12000.0,-4.0,13750.0,14950.0,2.5,64.5,307.0,11660.0,7700,3925,0.0,FLAT,False,NONE,MARKUP,STEADY_BULL,WARN,NONE,NEUTRAL,0.0,0.0,3.33,800,,UPTREND_STRENGTHENING,TĂNG,55.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 12,200.0 | T+2.5 13,100.0 | T+5 13,600.0",80.0
HAR,HOSE,NO_ACTION,—,53,NEUTRAL,0.0,SAFE,,,47,29,WHALE_DISTRIBUTING,MODE_A,3500.0,3500.0,3380.0,-3.43,3810.0,4120.0,2.58,50.0,78.0,3518.0,12600,137930,0.0,FLAT,False,NONE,RANGING,STEADY_BEAR,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,GIẢM,76.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 3,430.0 | T+2.5 3,640.0 | T+5 3,730.0",65.0
