Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
STB,HOSE,NO_ACTION,—,25,NEUTRAL,0.0,SAFE,,,40,35,RETAIL_DRIVEN,MODE_A,70800.0,70800.0,67000.0,-5.37,80900.0,90900.0,2.66,56.1,2514.0,69870.0,2690800,6479980,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,INFLOW,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,69.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 68,500.0 | T+2.5 75,300.0 | T+5 78,300.0",95.0
LPB,HOSE,NO_ACTION,—,10,NEUTRAL,0.0,SAFE,,,41,36,RETAIL_DRIVEN,MODE_A,52500.0,51400.0,48350.0,-5.93,59500.0,67500.0,2.66,87.4,2017.0,47730.0,372300,1347675,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,WARN,NONE,INFLOW,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TRUNG LẬP,66.0,THEO_DOI,Chua co dong thuan giua chat luong tin hieu va timing; tiep tuc theo doi.,"Theo doi them truoc khi kich hoat lenh. Ke hoach du kien: SL 50,700.0 | T+2.5 55,500.0 | T+5 57,500.0",50.0
MSB,HOSE,NO_ACTION,—,15,NEUTRAL,0.0,SAFE,,,61,56,RETAIL_DRIVEN,MODE_A,13850.0,13850.0,13300.0,-3.97,15300.0,16750.0,2.64,74.5,364.0,13140.0,8941200,14079300,9624030.0,UP,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,INFLOW,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,78.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 13,500.0 | T+2.5 14,500.0 | T+5 14,950.0",60.0
PVD,HOSE,NO_ACTION,—,33,NEUTRAL,0.0,SAFE,,,53,35,RETAIL_DRIVEN,MODE_A,32049.999999999996,32050.0,29650.0,-7.49,38400.0,44800.0,2.65,55.3,1593.0,32332.0,2404200,4635005,151230.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,50.0,THEO_DOI,Chua co dong thuan giua chat luong tin hieu va timing; tiep tuc theo doi.,"Theo doi them truoc khi kich hoat lenh. Ke hoach du kien: SL 30,600.0 | T+2.5 34,900.0 | T+5 36,850.0",30.0
ALT,HNX,NO_ACTION,—,10,NEUTRAL,0.0,SAFE,,,22,22,WHALE_DISTRIBUTING,MODE_A,12100.0,12100.0,10900.0,-9.92,15250.0,18450.0,2.62,50.0,793.0,12655.0,1900,1840,0.0,DOWN,False,NONE,DISTRIBUTION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TRUNG LẬP,42.0,TRANH_XA,Ca Action va T+ deu khong ung ho mua moi; uu tien bao toan von.,"Tranh mo vi the moi. Neu dang nam giu, dung SL - | T+2.5 - | T+5 - lam moc quan tri rui ro.",0.0
DCM,HOSE,NO_ACTION,—,10,NEUTRAL,0.0,SAFE,,,38,38,RETAIL_DRIVEN,MODE_A,41400.0,41400.0,38700.0,-6.52,48550.0,55700.0,2.65,53.4,1786.0,42840.0,1493000,3675290,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,57.0,THEO_DOI,Chua co dong thuan giua chat luong tin hieu va timing; tiep tuc theo doi.,"Theo doi them truoc khi kich hoat lenh. Ke hoach du kien: SL 39,800.0 | T+2.5 44,600.0 | T+5 46,750.0",30.0
