Mã,Action,Conf,MFPM,Macro,MacroScore,Sector Flow,BCTC Risk,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào,SL,TP1,R:R,AMF,Pattern,HMM,Stealth,T+ Setup,T+ Verdict,T+ Conf,Trend Warning,Dự báo,FC Conf%,CVD
TTT,WATCH,LOW,63,NEUTRAL,0.0,NEUTRAL,SAFE,,57,39,RETAIL_DRIVEN,MODE_B,34000.0,34000.0,32950.0,35250.0,1.19,PASS,VCP,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
VAB,WATCH,LOW,60,NEUTRAL,0.0,NEUTRAL,SAFE,,55,45,RETAIL_DRIVEN,MODE_A,10850.0,10650.0,10300.0,11250.0,1.71,WARN,CUP_WITH_HANDLE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,75.0,NONE,,0.0,NEUTRAL
VND,WATCH,LOW,53,NEUTRAL,0.0,NEUTRAL,SAFE,,51,51,RETAIL_DRIVEN,MODE_B,18100.0,18100.0,17200.0,20400.0,2.56,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,THEO_DOI,50.0,NONE,,0.0,NEUTRAL
PDR,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,48,48,RETAIL_DRIVEN,MODE_A,16950.0,16600.0,15750.0,18800.0,2.59,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,80.0,NONE,,0.0,NEUTRAL
VPI,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,31,31,RETAIL_DRIVEN,MODE_A,60800.0,60800.0,58200.0,67700.0,2.65,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,85.0,NONE,,0.0,NEUTRAL
PPS,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,54,54,RETAIL_DRIVEN,MODE_A,10400.0,10400.0,9820.0,11950.0,2.67,PASS,NONE,TRANSITIONAL,False,T_SUPPORT_BOUNCE,THEO_DOI,50.0,NONE,,0.0,NEUTRAL
TMB,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,31,31,RETAIL_DRIVEN,MODE_A,57000.0,56000.0,54300.0,59800.0,2.24,PASS,NONE,TRANSITIONAL,False,T_BREAKOUT,THEO_DOI,50.0,NONE,,0.0,NEUTRAL
FTS,NO_ACTION,—,53,NEUTRAL,0.0,NEUTRAL,SAFE,,45,27,WHALE_DISTRIBUTING,MODE_A,24050.0,24050.0,23050.0,26650.0,2.6,PASS,VCP,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
HMC,NO_ACTION,—,50,NEUTRAL,0.0,NEUTRAL,SAFE,,20,20,WHALE_DISTRIBUTING,MODE_A,11600.0,11500.0,11150.0,12150.0,1.86,PASS,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
PHC,NO_ACTION,—,50,NEUTRAL,0.0,NEUTRAL,SAFE,,29,29,WHALE_DISTRIBUTING,MODE_A,4990.0,4990.0,4760.0,5580.0,2.57,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,65.0,NONE,,0.0,NEUTRAL
VPD,NO_ACTION,—,50,NEUTRAL,0.0,NEUTRAL,SAFE,,30,30,WHALE_DISTRIBUTING,MODE_A,25000.0,24550.0,23800.0,25700.0,1.53,PASS,NONE,TRANSITIONAL,False,T_BREAKOUT,THEO_DOI,50.0,NONE,,0.0,NEUTRAL
