Mã,Action,Conf,MFPM,Macro,MacroScore,Sector Flow,BCTC Risk,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào,SL,TP1,R:R,AMF,Pattern,HMM,Stealth,T+ Setup,T+ Verdict,T+ Conf,Trend Warning,Dự báo,FC Conf%,CVD
DHC,WATCH,LOW,78,NEUTRAL,0,NEUTRAL,SAFE,,53,35,RETAIL_DRIVEN,MODE_A,37150,36400,35050,39900,2.59,PASS,VCP,TRANSITIONAL,FALSE,T_AVOID,TRANH_XA,0,NONE,,0,NEUTRAL
ACG,WATCH,LOW,63,NEUTRAL,0,NEUTRAL,SAFE,,49,41,RETAIL_DRIVEN,MODE_A,34000,34000,32900,36850,2.59,PASS,RSI_DIV_BULLISH,TRANSITIONAL,FALSE,T_PULLBACK_EMA,THEO_DOI,45,NONE,,0,NEUTRAL
PGN,WATCH,LOW,58,NEUTRAL,0,NEUTRAL,SAFE,,67,49,RETAIL_DRIVEN,MODE_A,7400,7400,6610,9490,2.65,PASS,VCP,TRANSITIONAL,FALSE,T_PULLBACK_EMA,CHO_XAC_NHAN,95,NONE,,0,NEUTRAL
ASP,WATCH,LOW,55,NEUTRAL,0,NEUTRAL,SAFE,,58,58,MIXED,MODE_B,7440,7440,7080,8370,2.58,WARN,NONE,TRANSITIONAL,FALSE,T_BREAKOUT,CHO_XAC_NHAN,85,NONE,,0,NEUTRAL
HTV,WATCH,LOW,55,NEUTRAL,0,NEUTRAL,SAFE,,43,43,RETAIL_DRIVEN,MODE_B,14150,14150,13100,16800,2.52,WARN,NONE,TRANSITIONAL,FALSE,T_BREAKOUT,CHO_XAC_NHAN,60,NONE,,0,NEUTRAL
PDR,WATCH,LOW,53,NEUTRAL,0,NEUTRAL,SAFE,,40,32,RETAIL_DRIVEN,MODE_A,16550,16550,15800,18500,2.6,PASS,RSI_DIV_BULLISH,TRANSITIONAL,FALSE,T_PULLBACK_EMA,CHO_XAC_NHAN,65,NONE,,0,NEUTRAL
CKV,WATCH,LOW,53,NEUTRAL,0,NEUTRAL,SAFE,,64,46,RETAIL_DRIVEN,MODE_A,17200,17200,16150,19900,2.57,WARN,VCP,TRANSITIONAL,FALSE,T_PULLBACK_EMA,CHO_XAC_NHAN,65,NONE,,0,NEUTRAL
GEE,WATCH,LOW,50,NEUTRAL,0,NEUTRAL,SAFE,,47,47,RETAIL_DRIVEN,MODE_B,122100,122100,113600,144600,2.65,WARN,NONE,TRANSITIONAL,FALSE,T_RANGE_BREAK,CHO_XAC_NHAN,95,NONE,,0,NEUTRAL
GEX,WATCH,LOW,50,NEUTRAL,0,NEUTRAL,SAFE,,49,49,RETAIL_DRIVEN,MODE_B,31400,31400,29600,36200,2.67,WARN,NONE,TRANSITIONAL,FALSE,T_BREAKOUT,CHO_XAC_NHAN,95,NONE,,0,NEUTRAL
KOS,WATCH,LOW,50,NEUTRAL,0,NEUTRAL,SAFE,,48,48,RETAIL_DRIVEN,MODE_A,38500,38200,36600,42350,2.59,PASS,NONE,TRANSITIONAL,FALSE,T_SUPPORT_BOUNCE,CHO_XAC_NHAN,70,NONE,,0,NEUTRAL
