Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
GSP,HOSE,WATCH,LOW,68,NEUTRAL,0.0,SAFE,,,59,41,RETAIL_DRIVEN,MODE_B,11650.0,11650.0,11300.0,-3.0,12600.0,13500.0,2.71,60.9,232.0,11278.0,241100,100460,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,51.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 11,400.0 | T+2.5 12,100.0 | T+5 12,450.0",95.0
PVD,HOSE,WATCH,LOW,68,NEUTRAL,0.0,SAFE,,,63,40,RETAIL_DRIVEN,MODE_B,35900.0,35900.0,33550.0,-6.55,42050.0,48200.0,2.62,67.3,1539.0,32380.0,6274800,4061610,3204390.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,WARN,VCP,INFLOW,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,52.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 34,350.0 | T+2.5 39,000.0 | T+5 41,300.0",70.0
PLX,HOSE,WATCH,LOW,60,NEUTRAL,0.0,SAFE,,,56,51,RETAIL_DRIVEN,MODE_B,45150.0,45150.0,42250.0,-6.42,52800.0,60500.0,2.64,67.0,1921.0,39218.0,10047500,4612735,9021750.0,UP,False,NONE,RANGING,TRANSITIONAL,WARN,NONE,INFLOW,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TRUNG LẬP,38.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 43,250.0 | T+2.5 49,000.0 | T+5 51,900.0",85.0
MBS,HNX,WATCH,LOW,60,NEUTRAL,0.0,SAFE,,,33,33,RETAIL_DRIVEN,MODE_A,19900.0,19650.0,18900.0,-3.82,21600.0,23600.0,2.6,57.9,493.0,19660.0,6404800,2830045,1921440.0,FLAT,False,NONE,RANGING,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,88.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 19,500.0 | T+2.5 20,900.0 | T+5 21,600.0",75.0
BTP,HOSE,WATCH,LOW,58,NEUTRAL,0.0,SAFE,,,57,39,RETAIL_DRIVEN,MODE_A,8380.0,8380.0,8120.0,-3.1,8730.0,9070.0,1.35,51.7,86.0,8402.0,16100,26100,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,GIẢM,65.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 8,290.0 | T+2.5 8,520.0 | T+5 8,620.0",85.0
HHS,HOSE,WATCH,LOW,58,NEUTRAL,0.0,SAFE,,,47,39,RETAIL_DRIVEN,MODE_A,13000.0,13000.0,12200.0,-6.15,15050.0,17150.0,2.56,54.0,518.0,13090.0,870000,2867245,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,RSI_DIV_BULLISH,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,58.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 12,550.0 | T+2.5 13,950.0 | T+5 14,550.0",65.0
PET,HOSE,WATCH,LOW,55,NEUTRAL,0.0,SAFE,,,40,40,RETAIL_DRIVEN,MODE_A,47350.0,47350.0,44800.0,-5.39,54100.0,60900.0,2.65,54.3,1689.0,47195.0,222400,866910,0.0,FLAT,False,CAUTION,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,64.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 45,850.0 | T+2.5 50,400.0 | T+5 52,400.0",95.0
TLG,HOSE,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,35,35,RETAIL_DRIVEN,MODE_A,49900.0,49900.0,48400.0,-3.01,52800.0,55800.0,1.93,56.3,732.0,50300.0,65500,148900,0.0,FLAT,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,54.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 49,250.0 | T+2.5 51,200.0 | T+5 52,100.0",95.0
PLC,HNX,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,42,42,RETAIL_DRIVEN,MODE_A,23800.0,23300.0,22000.0,-5.58,26700.0,30100.0,2.62,60.7,850.0,22375.0,765900,290160,229770.0,UP,False,NONE,RANGING,STEADY_BEAR,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TRUNG LẬP,44.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 22,950.0 | T+2.5 25,500.0 | T+5 26,800.0",70.0
SCG,HNX,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,35,35,RETAIL_DRIVEN,MODE_A,69000.0,69000.0,66900.0,-3.04,71700.0,74400.0,1.29,50.7,679.0,68225.0,15800,21075,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,57.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 68,400.0 | T+2.5 70,200.0 | T+5 71,000.0",65.0
VC7,HNX,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,56,56,RETAIL_DRIVEN,MODE_B,8700.0,8700.0,8340.0,-4.14,9640.0,10600.0,2.61,65.2,236.0,8025.0,324600,110395,186270.0,UP,False,NONE,MARKUP,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TRUNG LẬP,12.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 8,460.0 | T+2.5 9,170.0 | T+5 9,520.0",95.0
CRE,HOSE,NO_ACTION,—,60,NEUTRAL,0.0,SAFE,,,39,29,WHALE_DISTRIBUTING,MODE_A,7500.0,7500.0,7130.0,-4.93,8470.0,9450.0,2.62,50.3,244.0,7562.0,39600,144315,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,CUP_WITH_HANDLE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TRUNG LẬP,30.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 7,263.5 | T+2.5 7,890.0 | T+5 8,180.0",60.0
VND,HOSE,NO_ACTION,—,60,NEUTRAL,0.0,SAFE,,,45,30,WHALE_DISTRIBUTING,MODE_A,16600.0,16600.0,15950.0,-3.92,18250.0,19900.0,2.54,59.5,411.0,16408.0,7235900,8171040,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,CUP_WITH_HANDLE,INFLOW,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,70.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 16,250.0 | T+2.5 17,350.0 | T+5 17,850.0",85.0
AMC,HNX,NO_ACTION,—,48,NEUTRAL,0.0,SAFE,,,36,28,WHALE_DISTRIBUTING,MODE_A,12400.0,12400.0,11500.0,-7.26,14750.0,17100.0,2.61,56.6,586.0,12600.0,200,1015,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,RSI_DIV_BULLISH,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,73.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 11,850.0 | T+2.5 13,450.0 | T+5 14,150.0",80.0
ITC,HOSE,NO_ACTION,—,45,NEUTRAL,0.0,SAFE,,,40,30,WHALE_DISTRIBUTING,MODE_A,11950.0,11950.0,11400.0,-4.6,13350.0,14750.0,2.55,54.0,350.0,11975.0,7600,100200,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,CUP_WITH_HANDLE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,GIẢM,46.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 11,650.0 | T+2.5 12,600.0 | T+5 13,000.0",85.0
