Mã,Action,Conf,MFPM,Macro,MacroScore,Sector Flow,BCTC Risk,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào,SL,TP1,R:R,AMF,Pattern,HMM,Stealth,T+ Setup,T+ Verdict,T+ Conf,Trend Warning,Dự báo,FC Conf%,CVD
GSP,WATCH,LOW,68,NEUTRAL,0.0,NEUTRAL,SAFE,,59,41,RETAIL_DRIVEN,MODE_B,11650.0,11650.0,11300.0,12600.0,2.71,PASS,VCP,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
PVD,WATCH,LOW,68,NEUTRAL,0.0,INFLOW,SAFE,,63,40,RETAIL_DRIVEN,MODE_B,35900.0,35900.0,33550.0,42050.0,2.62,WARN,VCP,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,70.0,NONE,,0.0,NEUTRAL
PLX,WATCH,LOW,60,NEUTRAL,0.0,INFLOW,SAFE,,56,51,RETAIL_DRIVEN,MODE_B,45150.0,45150.0,42250.0,52800.0,2.64,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,85.0,NONE,,0.0,NEUTRAL
MBS,WATCH,LOW,60,NEUTRAL,0.0,NEUTRAL,SAFE,,33,33,RETAIL_DRIVEN,MODE_A,19900.0,19650.0,18900.0,21600.0,2.6,WARN,NONE,TRANSITIONAL,False,T_RANGE_BREAK,CHO_XAC_NHAN,75.0,NONE,,0.0,NEUTRAL
BTP,WATCH,LOW,58,NEUTRAL,0.0,NEUTRAL,SAFE,,57,39,RETAIL_DRIVEN,MODE_A,8380.0,8380.0,8120.0,8730.0,1.35,PASS,VCP,TRANSITIONAL,False,T_SUPPORT_BOUNCE,CHO_XAC_NHAN,85.0,NONE,,0.0,NEUTRAL
HHS,WATCH,LOW,58,NEUTRAL,0.0,NEUTRAL,SAFE,,47,39,RETAIL_DRIVEN,MODE_A,13000.0,13000.0,12200.0,15050.0,2.56,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,65.0,NONE,,0.0,NEUTRAL
PVS,WATCH,LOW,56,NEUTRAL,0.0,INFLOW,SAFE,,55,32,RETAIL_DRIVEN,MODE_B,43300.0,43300.0,40350.0,51100.0,2.64,WARN,VCP,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
PET,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,40,40,RETAIL_DRIVEN,MODE_A,47350.0,47350.0,44800.0,54100.0,2.65,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
TLG,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,35,35,RETAIL_DRIVEN,MODE_A,49900.0,49900.0,48400.0,52800.0,1.93,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
PLC,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,42,42,RETAIL_DRIVEN,MODE_A,23800.0,23300.0,22000.0,26700.0,2.62,WARN,NONE,STEADY_BEAR,False,T_BREAKOUT,CHO_XAC_NHAN,70.0,NONE,,0.0,NEUTRAL
