Mã,Action,Conf,MFPM,Macro,MacroScore,Sector Flow,BCTC Risk,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào,SL,TP1,R:R,AMF,Pattern,HMM,Stealth,T+ Setup,T+ Verdict,T+ Conf,Trend Warning,Dự báo,FC Conf%,CVD
PAN,WATCH,LOW,65,NEUTRAL,0.0,NEUTRAL,SAFE,,41,41,RETAIL_DRIVEN,MODE_A,32950.0,32450.0,31000.0,36200.0,2.59,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,80.0,NONE,,0.0,NEUTRAL
PLX,WATCH,LOW,60,NEUTRAL,0.0,NEUTRAL,SAFE,,50,50,RETAIL_DRIVEN,MODE_B,42200.0,42200.0,39450.0,49550.0,2.67,WARN,NONE,STEADY_BEAR,False,T_BREAKOUT,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
GMX,WATCH,LOW,60,NEUTRAL,0.0,NEUTRAL,SAFE,,44,34,RETAIL_DRIVEN,MODE_A,16400.0,16400.0,15900.0,17550.0,2.3,PASS,CUP_WITH_HANDLE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,60.0,NONE,,0.0,NEUTRAL
VOS,WATCH,LOW,58,NEUTRAL,0.0,NEUTRAL,SAFE,,49,31,RETAIL_DRIVEN,MODE_A,12800.0,12700.0,12250.0,13850.0,2.56,PASS,VCP,TRANSITIONAL,False,T_BREAKOUT,THEO_DOI,40.0,NONE,,0.0,NEUTRAL
MCP,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,50,50,RETAIL_DRIVEN,MODE_A,27300.0,27300.0,26450.0,28200.0,1.06,PASS,NONE,TRANSITIONAL,False,T_SUPPORT_BOUNCE,THEO_DOI,35.0,NONE,,0.0,NEUTRAL
PHR,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,57,57,MIXED,MODE_B,71300.0,71300.0,68300.0,79200.0,2.63,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,75.0,NONE,,0.0,NEUTRAL
TRC,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,46,36,RETAIL_DRIVEN,MODE_B,77100.0,77100.0,74700.0,83000.0,2.46,PASS,CUP_WITH_HANDLE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,85.0,NONE,,0.0,NEUTRAL
BSR,WATCH,LOW,53,NEUTRAL,0.0,NEUTRAL,SAFE,,55,55,RETAIL_DRIVEN,MODE_B,31750.0,31750.0,29400.0,38000.0,2.66,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,THEO_DOI,50.0,NONE,,0.0,NEUTRAL
PVP,WATCH,LOW,53,NEUTRAL,0.0,NEUTRAL,SAFE,,48,48,RETAIL_DRIVEN,MODE_B,19850.0,19850.0,18450.0,23550.0,2.64,WARN,NONE,TRANSITIONAL,False,T_MOMENTUM_CONT,CHO_XAC_NHAN,75.0,NONE,,0.0,NEUTRAL
DBD,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,37,37,RETAIL_DRIVEN,MODE_A,50100.0,50100.0,48550.0,51900.0,1.16,PASS,NONE,TRANSITIONAL,False,T_SUPPORT_BOUNCE,CHO_XAC_NHAN,75.0,NONE,,0.0,NEUTRAL
