Mã,Action,Conf,MFPM,Macro,MacroScore,Sector Flow,BCTC Risk,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào,SL,TP1,R:R,AMF,Pattern,HMM,Stealth,T+ Setup,T+ Verdict,T+ Conf,Trend Warning,Dự báo,FC Conf%,CVD
EIB,WATCH,LOW,65,NEUTRAL,0.0,INFLOW,SAFE,,48,43,RETAIL_DRIVEN,MODE_A,22750.0,22300.0,21350.0,24800.0,2.63,PASS,NONE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,55.0,NONE,,0.0,NEUTRAL
NBB,WATCH,LOW,63,NEUTRAL,0.0,NEUTRAL,SAFE,,55,37,RETAIL_DRIVEN,MODE_A,17950.0,17950.0,17200.0,19850.0,2.53,WARN,VCP,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
ORS,WATCH,LOW,60,NEUTRAL,0.0,NEUTRAL,SAFE,,52,42,RETAIL_DRIVEN,MODE_A,13600.0,13500.0,12900.0,15000.0,2.5,PASS,CUP_WITH_HANDLE,TRANSITIONAL,False,T_RANGE_BREAK,CHO_XAC_NHAN,75.0,NONE,,0.0,NEUTRAL
GMH,WATCH,LOW,58,NEUTRAL,0.0,NEUTRAL,SAFE,,56,48,RETAIL_DRIVEN,MODE_A,7840.0,7680.0,7200.0,8950.0,2.65,WARN,RSI_DIV_BULLISH,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,65.0,NONE,,0.0,NEUTRAL
HRC,WATCH,LOW,58,NEUTRAL,0.0,NEUTRAL,SAFE,,46,38,RETAIL_DRIVEN,MODE_A,42100.0,41250.0,36600.0,53600.0,2.66,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,55.0,NONE,,0.0,NEUTRAL
VHE,WATCH,LOW,58,NEUTRAL,0.0,NEUTRAL,SAFE,,60,42,RETAIL_DRIVEN,MODE_A,3300.0,3260.0,3030.0,3860.0,2.61,PASS,VCP,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,55.0,NONE,,0.0,NEUTRAL
HTV,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,43,43,RETAIL_DRIVEN,MODE_B,14150.0,14150.0,13100.0,16800.0,2.52,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,60.0,NONE,,0.0,NEUTRAL
SRC,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,43,43,RETAIL_DRIVEN,MODE_A,54900.0,54200.0,51500.0,61200.0,2.59,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,70.0,NONE,,0.0,NEUTRAL
CKV,WATCH,LOW,53,NEUTRAL,0.0,NEUTRAL,SAFE,,64,46,RETAIL_DRIVEN,MODE_A,17200.0,17200.0,16150.0,19900.0,2.57,WARN,VCP,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,65.0,NONE,,0.0,NEUTRAL
BFC,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,41,41,RETAIL_DRIVEN,MODE_A,63400.0,63400.0,57500.0,79100.0,2.66,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,80.0,NONE,,0.0,NEUTRAL
BMP,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,43,43,RETAIL_DRIVEN,MODE_B,158.0,160.0,150.0,180.0,2.0,WARN,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
CII,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,40,40,RETAIL_DRIVEN,MODE_A,19700.0,19300.0,18100.0,22400.0,2.58,PASS,NONE,TRANSITIONAL,False,T_RANGE_BREAK,CHO_XAC_NHAN,85.0,NONE,,0.0,NEUTRAL
GEE,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,56,56,RETAIL_DRIVEN,MODE_B,133000.0,133000.0,122900.0,159800.0,2.65,WARN,NONE,TRANSITIONAL,False,T_RANGE_BREAK,CHO_XAC_NHAN,75.0,NONE,,0.0,NEUTRAL
NAF,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,39,39,RETAIL_DRIVEN,MODE_A,50100.0,50100.0,48550.0,54100.0,2.58,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
PIT,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,32,32,RETAIL_DRIVEN,MODE_A,7960.0,7800.0,7280.0,9170.0,2.63,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,THEO_DOI,45.0,NONE,,0.0,NEUTRAL
PTB,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,44,44,RETAIL_DRIVEN,MODE_B,51000.0,51000.0,49400.0,55100.0,2.56,PASS,NONE,TRANSITIONAL,False,T_RANGE_BREAK,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
SHI,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,40,40,RETAIL_DRIVEN,MODE_A,14700.0,14400.0,13950.0,15150.0,1.67,PASS,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
VIX,WATCH,LOW,50,NEUTRAL,0.0,OUTFLOW,SAFE,,55,55,RETAIL_DRIVEN,MODE_B,19350.0,19350.0,18300.0,22100.0,2.62,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
VPI,WATCH,LOW,50,NEUTRAL,0.0,OUTFLOW,SAFE,,49,49,RETAIL_DRIVEN,MODE_A,60100.0,60100.0,57400.0,67300.0,2.67,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,80.0,NONE,,0.0,NEUTRAL
CPC,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,45,45,RETAIL_DRIVEN,MODE_A,17600.0,17400.0,16850.0,18650.0,2.27,PASS,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
HVT,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,36,36,RETAIL_DRIVEN,MODE_A,27800.0,27800.0,26950.0,29550.0,2.06,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,55.0,NONE,,0.0,NEUTRAL
TFC,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,34,34,RETAIL_DRIVEN,MODE_A,50000.0,50000.0,47650.0,56200.0,2.64,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,85.0,NONE,,0.0,NEUTRAL
PTS,NO_ACTION,—,60,NEUTRAL,0.0,NEUTRAL,SAFE,,25,25,WHALE_DISTRIBUTING,MODE_A,9400.0,9400.0,9110.0,9860.0,1.59,PASS,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
SBA,NO_ACTION,—,58,NEUTRAL,0.0,NEUTRAL,SAFE,,37,29,WHALE_DISTRIBUTING,MODE_A,28400.0,28400.0,27500.0,30250.0,2.06,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False,T_BREAKOUT,THEO_DOI,50.0,NONE,,0.0,NEUTRAL
