Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
ACB,HOSE,NO_ACTION,—,40,NEUTRAL,0.0,SAFE,,,23,23,WHALE_DISTRIBUTING,MODE_A,23250.0,23050.0,22350.0,-3.04,24450.0,25900.0,2.0,60.3,354.0,22992.0,3566900,15167085,0.0,FLAT,False,WATCH,DISTRIBUTION,STEADY_BEAR,PASS,NONE,OUTFLOW,0.0,0.0,0.0,0,,DOWNTREND_STRENGTHENING,TRUNG LẬP,47.0,TRANH_XA,Ca Action va T+ deu khong ung ho mua moi; uu tien bao toan von.,"Tranh mo vi the moi. Neu dang nam giu, dung SL - | T+2.5 - | T+5 - lam moc quan tri rui ro.",0.0
PMS,HNX,WATCH,LOW,55,NEUTRAL,0.0,SAFE,,,47,47,RETAIL_DRIVEN,MODE_A,35500.0,35500.0,34300.0,-3.38,38650.0,41800.0,2.62,59.4,786.0,35870.0,700,3500,0.0,UP,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,64.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 34,800.0 | T+2.5 36,900.0 | T+5 37,850.0",95.0
GLT,HNX,WATCH,LOW,50,NEUTRAL,0.0,SAFE,,,55,55,RETAIL_DRIVEN,MODE_A,28900.0,28900.0,27050.0,-6.4,33800.0,38700.0,2.65,45.3,1222.0,29358.0,26200,15170,62850.0,UP,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,79.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 27,800.0 | T+2.5 31,100.0 | T+5 32,550.0",95.0
DPR,HOSE,NO_ACTION,—,40,NEUTRAL,0.0,SAFE,,,42,42,RETAIL_DRIVEN,MODE_A,41850.0,41850.0,39850.0,-4.78,47100.0,52300.0,2.62,49.2,1307.0,41985.0,29700,660710,-506340.0,FLAT,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,50.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 40,650.0 | T+2.5 44,200.0 | T+5 45,750.0",95.0
SRC,HOSE,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,35,35,RETAIL_DRIVEN,MODE_A,54000.0,54000.0,52300.0,-3.15,58100.0,62200.0,2.41,55.2,1021.0,53305.0,18200,4940,-720.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,7.2,400,,UPTREND_STRENGTHENING,TĂNG,95.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 53,100.0 | T+2.5 55,800.0 | T+5 57,100.0",95.0
SZB,HNX,NO_ACTION,—,30,NEUTRAL,0.0,SAFE,,,40,40,RETAIL_DRIVEN,MODE_A,43300.0,43300.0,42000.0,-3.0,44850.0,46450.0,1.19,44.4,393.0,43030.0,3200,4840,0.0,FLAT,False,NONE,MARKUP,STEADY_BULL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,78.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 42,950.0 | T+2.5 44,000.0 | T+5 44,500.0",95.0
VTZ,HNX,NO_ACTION,—,30,NEUTRAL,0.0,SAFE,,,41,41,RETAIL_DRIVEN,MODE_A,20600.0,20600.0,19950.0,-3.16,22250.0,23900.0,2.54,61.1,414.0,20435.0,202700,1021510,0.0,FLAT,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,69.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 20,250.0 | T+2.5 21,200.0 | T+5 21,650.0",95.0
TCO,HOSE,NO_ACTION,—,28,NEUTRAL,0.0,SAFE,,,54,36,RETAIL_DRIVEN,MODE_A,15050.0,15050.0,13950.0,-7.31,17850.0,20700.0,2.55,43.3,704.0,15402.0,23100,364725,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,60.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 14,400.0 | T+2.5 16,300.0 | T+5 17,150.0",95.0
PCH,HNX,NO_ACTION,—,25,NEUTRAL,0.0,SAFE,,,39,39,RETAIL_DRIVEN,MODE_A,22500.0,22400.0,21700.0,-3.12,23650.0,24850.0,1.79,60.0,307.0,22150.0,20100,96690,0.0,FLAT,False,NONE,MARKUP,STEADY_BULL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,58.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 22,200.0 | T+2.5 23,050.0 | T+5 23,400.0",95.0
PSE,HNX,NO_ACTION,—,25,NEUTRAL,0.0,SAFE,,,38,38,RETAIL_DRIVEN,MODE_A,11000.0,11000.0,10650.0,-3.18,11300.0,11550.0,0.86,33.3,71.0,11075.0,1000,1455,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,88.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 10,950.0 | T+2.5 11,100.0 | T+5 11,200.0",95.0
