Mã,Action,Conf,MFPM,Macro,MacroScore,Sector Flow,BCTC Risk,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào,SL,TP1,R:R,AMF,Pattern,HMM,Stealth,T+ Setup,T+ Verdict,T+ Conf,Trend Warning,Dự báo,FC Conf%,CVD
TRC,WATCH,LOW,73,NEUTRAL,0.0,NEUTRAL,SAFE,,61,43,RETAIL_DRIVEN,MODE_A,75300.0,75300.0,73000.0,80600.0,2.3,PASS,VCP,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,80.0,NONE,,0.0,NEUTRAL
PPS,WATCH,LOW,65,NEUTRAL,0.0,NEUTRAL,SAFE,,58,58,RETAIL_DRIVEN,MODE_A,10500.0,10350.0,9870.0,11600.0,2.6,WARN,NONE,TRANSITIONAL,False,T_SUPPORT_BOUNCE,CHO_XAC_NHAN,70.0,NONE,,0.0,NEUTRAL
TTT,WATCH,LOW,63,NEUTRAL,0.0,NEUTRAL,SAFE,,57,39,RETAIL_DRIVEN,MODE_B,34000.0,34000.0,32950.0,35250.0,1.19,PASS,VCP,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
YBM,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,41,41,RETAIL_DRIVEN,MODE_A,10300.0,10200.0,9840.0,11150.0,2.64,PASS,NONE,TRANSITIONAL,False,T_SUPPORT_BOUNCE,CHO_XAC_NHAN,60.0,NONE,,0.0,NEUTRAL
PMS,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,47,47,RETAIL_DRIVEN,MODE_A,35500.0,35500.0,34300.0,38650.0,2.62,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
PTS,WATCH,LOW,55,NEUTRAL,0.0,NEUTRAL,SAFE,,45,45,RETAIL_DRIVEN,MODE_A,9400.0,9400.0,9110.0,9860.0,1.59,PASS,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
CTF,WATCH,LOW,53,NEUTRAL,0.0,NEUTRAL,SAFE,,57,49,RETAIL_DRIVEN,MODE_A,18250.0,18250.0,17700.0,19650.0,2.55,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False,T_PULLBACK_EMA,THEO_DOI,45.0,NONE,,0.0,NEUTRAL
SSB,WATCH,LOW,50,NEUTRAL,0.0,OUTFLOW,SAFE,,37,37,RETAIL_DRIVEN,MODE_A,16850.0,16750.0,16200.0,17450.0,1.27,PASS,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
TAL,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,36,36,RETAIL_DRIVEN,MODE_A,44200.0,44200.0,42150.0,49550.0,2.61,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,THEO_DOI,45.0,NONE,,0.0,NEUTRAL
DAD,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,38,38,RETAIL_DRIVEN,MODE_A,15500.0,15500.0,14650.0,17700.0,2.59,WARN,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
GLT,WATCH,LOW,50,NEUTRAL,0.0,NEUTRAL,SAFE,,55,55,RETAIL_DRIVEN,MODE_A,28900.0,28900.0,27050.0,33800.0,2.65,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
DRC,NO_ACTION,—,48,NEUTRAL,0.0,NEUTRAL,SAFE,,59,41,RETAIL_DRIVEN,MODE_A,12550.0,12550.0,12150.0,13500.0,2.38,PASS,VCP,STEADY_BEAR,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
NHH,NO_ACTION,—,48,NEUTRAL,0.0,NEUTRAL,SAFE,,49,41,RETAIL_DRIVEN,MODE_A,10450.0,10450.0,10100.0,11200.0,2.14,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,70.0,NONE,,0.0,NEUTRAL
SHA,NO_ACTION,—,48,NEUTRAL,0.0,NEUTRAL,SAFE,,66,58,RETAIL_DRIVEN,MODE_A,4010.0,4010.0,3880.0,4350.0,2.62,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,85.0,NONE,,0.0,NEUTRAL
VND,NO_ACTION,—,45,NEUTRAL,0.0,INFLOW,SAFE,,49,44,RETAIL_DRIVEN,MODE_B,17850.0,17850.0,16950.0,20200.0,2.61,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,THEO_DOI,35.0,NONE,,0.0,NEUTRAL
VTP,NO_ACTION,—,45,NEUTRAL,0.0,NEUTRAL,SAFE,,42,42,RETAIL_DRIVEN,MODE_A,67400.0,67400.0,63200.0,78500.0,2.64,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,THEO_DOI,45.0,NONE,,0.0,NEUTRAL
WCS,NO_ACTION,—,45,NEUTRAL,0.0,NEUTRAL,SAFE,,42,42,RETAIL_DRIVEN,MODE_B,355.0,360.0,320.0,440.0,2.0,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,THEO_DOI,50.0,NONE,,0.0,NEUTRAL
CKV,NO_ACTION,—,43,NEUTRAL,0.0,NEUTRAL,SAFE,,64,46,RETAIL_DRIVEN,MODE_A,17000.0,17000.0,15950.0,19700.0,2.57,WARN,VCP,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,65.0,NONE,,0.0,NEUTRAL
UNI,NO_ACTION,—,43,NEUTRAL,0.0,NEUTRAL,SAFE,,47,39,RETAIL_DRIVEN,MODE_A,8500.0,8330.0,7440.0,10700.0,2.66,WARN,RSI_DIV_BULLISH,STEADY_BEAR,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
DPR,NO_ACTION,—,40,NEUTRAL,0.0,NEUTRAL,SAFE,,42,42,RETAIL_DRIVEN,MODE_A,41850.0,41850.0,39850.0,47100.0,2.62,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,95.0,NONE,,0.0,NEUTRAL
KDC,NO_ACTION,—,40,NEUTRAL,0.0,OUTFLOW,SAFE,,52,42,RETAIL_DRIVEN,MODE_A,48550.0,48550.0,46900.0,52900.0,2.64,PASS,CUP_WITH_HANDLE,TRANSITIONAL,False,T_NO_SETUP,THEO_DOI,0.0,NONE,,0.0,NEUTRAL
TCM,NO_ACTION,—,40,NEUTRAL,0.0,NEUTRAL,SAFE,,35,35,RETAIL_DRIVEN,MODE_A,21450.0,21450.0,20800.0,22950.0,2.31,PASS,NONE,STEADY_BEAR,False,T_PULLBACK_EMA,CHO_XAC_NHAN,65.0,NONE,,0.0,NEUTRAL
VPH,NO_ACTION,—,40,NEUTRAL,0.0,NEUTRAL,SAFE,,35,35,RETAIL_DRIVEN,MODE_B,3890.0,3890.0,3650.0,4520.0,2.62,WARN,NONE,TRANSITIONAL,False,T_BREAKOUT,CHO_XAC_NHAN,60.0,NONE,,0.0,NEUTRAL
X20,NO_ACTION,—,40,NEUTRAL,0.0,NEUTRAL,SAFE,,40,40,RETAIL_DRIVEN,MODE_A,12300.0,12150.0,11750.0,13000.0,2.12,PASS,NONE,TRANSITIONAL,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
WSS,NO_ACTION,—,40,NEUTRAL,0.0,NEUTRAL,SAFE,,42,42,RETAIL_DRIVEN,MODE_A,6400.0,6400.0,6120.0,7140.0,2.64,PASS,NONE,TRANSITIONAL,False,T_PULLBACK_EMA,CHO_XAC_NHAN,65.0,NONE,,0.0,NEUTRAL
PC1,NO_ACTION,—,38,NEUTRAL,0.0,NEUTRAL,SAFE,,67,49,RETAIL_DRIVEN,MODE_A,20000.0,19600.0,18050.0,23700.0,2.65,PASS,VCP,STEADY_BEAR,False,T_AVOID,TRANH_XA,0.0,NONE,,0.0,NEUTRAL
