Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
ACB,HOSE,NO_ACTION,—,43,NEUTRAL,0.0,SAFE,,,45,45,RETAIL_DRIVEN,MODE_B,24250.0,24250.0,23500.0,-3.09,25850.0,27400.0,2.13,65.8,396.0,23045.0,23989000,17010270,9143190.0,UP,False,NONE,DISTRIBUTION,TRANSITIONAL,WARN,NONE,OUTFLOW,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,GIẢM,37.0,TRANH_XA,Ca Action va T+ deu khong ung ho mua moi; uu tien bao toan von.,"Tranh mo vi the moi. Neu dang nam giu, dung SL - | T+2.5 - | T+5 - lam moc quan tri rui ro.",0.0
TLH,HOSE,NO_ACTION,—,43,NEUTRAL,0.0,SAFE,,,37,29,WHALE_DISTRIBUTING,MODE_A,4630.0,4630.0,4480.0,-3.24,5010.0,5380.0,2.53,45.8,94.0,4618.0,62900,144895,0.0,FLAT,False,NONE,RANGING,STEADY_BEAR,PASS,RSI_DIV_BULLISH,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,73.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 4,540.0 | T+2.5 4,780.0 | T+5 4,890.0",95.0
SD9,HNX,NO_ACTION,—,40,NEUTRAL,0.0,SAFE,,,51,41,RETAIL_DRIVEN,MODE_A,10900.0,10900.0,10550.0,-3.21,11350.0,11800.0,1.29,40.0,114.0,10925.0,6200,13195,0.0,UP,False,NONE,MARKUP,TRANSITIONAL,PASS,CUP_WITH_HANDLE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,70.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 10,800.0 | T+2.5 11,100.0 | T+5 11,200.0",95.0
ADS,HOSE,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,33,33,RETAIL_DRIVEN,MODE_A,9000.0,9000.0,8730.0,-3.0,9600.0,10200.0,2.22,48.8,151.0,9022.0,30200,86110,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,79.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 8,860.0 | T+2.5 9,270.0 | T+5 9,450.0",95.0
DPR,HOSE,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,38,38,RETAIL_DRIVEN,MODE_A,41400.0,41400.0,39350.0,-4.95,46750.0,52100.0,2.61,46.8,1336.0,42005.0,137800,665250,0.0,FLAT,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,60.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 40,200.0 | T+2.5 43,800.0 | T+5 45,400.0",95.0
PTB,HOSE,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,31,31,RETAIL_DRIVEN,MODE_A,39850.0,39850.0,38250.0,-4.02,44100.0,48300.0,2.66,50.0,1059.0,40064.0,10900,96615,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,43.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 38,900.0 | T+2.5 41,750.0 | T+5 43,050.0",95.0
TDM,HOSE,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,32,32,RETAIL_DRIVEN,MODE_A,57200.0,57200.0,54100.0,-5.42,65400.0,73700.0,2.65,51.9,2057.0,57185.0,1000,18370,0.0,DOWN,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,66.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 55,300.0 | T+2.5 60,900.0 | T+5 63,400.0",95.0
TNT,HOSE,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,39,39,RETAIL_DRIVEN,MODE_A,10600.0,10600.0,9690.0,-8.58,13000.0,15450.0,2.64,54.2,605.0,10480.0,5200,102265,60270.0,FLAT,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,69.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 10,050.0 | T+2.5 11,700.0 | T+5 12,400.0",95.0
VTO,HOSE,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,32,32,RETAIL_DRIVEN,MODE_A,11950.0,11950.0,11550.0,-3.35,12550.0,13150.0,1.5,45.0,150.0,12032.0,24700,178405,0.0,DOWN,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,60.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 11,800.0 | T+2.5 12,200.0 | T+5 12,350.0",95.0
HDA,HNX,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,34,34,RETAIL_DRIVEN,MODE_A,6800.0,6800.0,6300.0,-7.35,8110.0,9430.0,2.62,52.2,329.0,6700.0,5000,46910,0.0,UP,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,62.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 6,500.0 | T+2.5 7,390.0 | T+5 7,790.0",95.0
